"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48346065,300.775,2.381,2759.271787
2456971.48347222,300.921,2.354,2761.933654
2456971.48348380,301.066,2.328,2764.609581
2456971.48349537,301.210,2.302,2767.299524
2456971.48350694,301.355,2.276,2770.003440
2456971.48351852,301.499,2.249,2772.721282
2456971.48353009,301.643,2.223,2775.453006
2456971.48354167,301.787,2.196,2778.198568
2456971.48355324,301.930,2.169,2780.957921
2456971.48356481,302.073,2.142,2783.731023
2456971.48357639,302.216,2.115,2786.517824
2456971.48358796,302.358,2.088,2789.318285
2456971.48359954,302.501,2.061,2792.132358
2456971.48361111,302.643,2.033,2794.959999
2456971.48362269,302.784,2.006,2797.801162
2456971.48363426,302.926,1.978,2800.655802
2456971.48364583,303.067,1.951,2803.523874
2456971.48365741,303.208,1.923,2806.405332
2456971.48366898,303.348,1.895,2809.300132
2456971.48368056,303.488,1.867,2812.208228
2456971.48369213,303.628,1.839,2815.129575
2456971.48370370,303.768,1.811,2818.064127
2456971.48371528,303.907,1.783,2821.011839
2456971.48372685,304.046,1.754,2823.972666
2456971.48373843,304.185,1.726,2826.946563
2456971.48375000,304.324,1.697,2829.933483
2456971.48376157,304.462,1.669,2832.933383
2456971.48377315,304.600,1.640,2835.946216
2456971.48378472,304.737,1.611,2838.971937
2456971.48379630,304.875,1.582,2842.010501
2456971.48380787,305.012,1.553,2845.061862
2456971.48381944,305.149,1.524,2848.125975
2456971.48383102,305.285,1.495,2851.202795
2456971.48384259,305.421,1.466,2854.292276
2456971.48385417,305.557,1.437,2857.394373
2456971.48386574,305.693,1.407,2860.509041
2456971.48387731,305.828,1.378,2863.636234
2456971.48388889,305.963,1.348,2866.775907
2456971.48390046,306.098,1.319,2869.928014
2456971.48391204,306.232,1.289,2873.092512
2456971.48392361,306.366,1.259,2876.269353
2456971.48393519,306.500,1.229,2879.458494
2456971.48394676,306.634,1.199,2882.659888
2456971.48395833,306.767,1.169,2885.873494
2456971.48396991,306.900,1.139,2889.099260
2456971.48398148,307.033,1.109,2892.337145
2456971.48399306,307.165,1.078,2895.587104
2456971.48400463,307.297,1.048,2898.849090
2456971.48401620,307.429,1.017,2902.123060
2456971.48402778,307.560,0.987,2905.408969
2456971.48403935,307.692,0.956,2908.706771
2456971.48405093,307.823,0.926,2912.016421
2456971.48406250,307.953,0.895,2915.337875
2456971.48407407,308.084,0.864,2918.671088
2456971.48408565,308.214,0.833,2922.016018
2456971.48409722,308.343,0.802,2925.372614
2456971.48410880,308.473,0.771,2928.740835
2456971.48412037,308.602,0.740,2932.120636
2456971.48413194,308.731,0.709,2935.511973
2456971.48414352,308.860,0.677,2938.914801
2456971.48415509,308.988,0.646,2942.329076
2456971.48416667,309.116,0.615,2945.754752
2456971.48417824,309.244,0.583,2949.191790
2456971.48418981,309.371,0.552,2952.640138
2456971.48420139,309.498,0.520,2956.099755
2456971.48421296,309.625,0.488,2959.570598
2456971.48422454,309.752,0.457,2963.052621
2456971.48423611,309.878,0.425,2966.545782
2456971.48424769,310.004,0.393,2970.050038
2456971.48425926,310.130,0.361,2973.565341
2456971.48427083,310.255,0.329,2977.091649
2456971.48428241,310.380,0.297,2980.628918
2456971.48429398,310.505,0.265,2984.177105
2456971.48430556,310.629,0.233,2987.736167
2456971.48431713,310.754,0.200,2991.306061
2456971.48432870,310.878,0.168,2994.886741
2456971.48434028,311.001,0.136,2998.478163
2456971.48435185,311.125,0.103,3002.080286
2456971.48436343,311.248,0.071,3005.693067
2456971.48437500,311.371,0.038,3009.316463
2456971.48438657,311.493,0.006,3012.950428
2456971.48438861,311.515,0.000,3013.592224
2456971.90265672,25.254,0.000,2972.371942
2456971.90266204,25.282,0.026,2969.487050
2456971.90267361,25.343,0.082,2963.206943
2456971.90268519,25.405,0.137,2956.929201
2456971.90269676,25.467,0.193,2950.653851
2456971.90270833,25.529,0.249,2944.380915
2456971.90271991,25.591,0.306,2938.110416
2456971.90273148,25.654,0.362,2931.842378
2456971.90274306,25.716,0.418,2925.576826
2456971.90275463,25.780,0.474,2919.313782
2456971.90276620,25.843,0.531,2913.053271
2456971.90277778,25.907,0.588,2906.795317
2456971.90278935,25.970,0.644,2900.539945
2456971.90280093,26.035,0.701,2894.287180
2456971.90281250,26.099,0.758,2888.037045
2456971.90282407,26.164,0.815,2881.789566
2456971.90283565,26.228,0.872,2875.544769
2456971.90284722,26.294,0.929,2869.302678
2456971.90285880,26.359,0.987,2863.063320
2456971.90287037,26.425,1.044,2856.826720
2456971.90288194,26.491,1.102,2850.592905
2456971.90289352,26.557,1.159,2844.361899
2456971.90290509,26.624,1.217,2838.133731
2456971.90291667,26.690,1.275,2831.908426
2456971.90292824,26.758,1.333,2825.686011
2456971.90293981,26.825,1.391,2819.466514
2456971.90295139,26.893,1.449,2813.249963
2456971.90296296,26.961,1.507,2807.036382
2456971.90297454,27.029,1.566,2800.825801
2456971.90298611,27.097,1.624,2794.618248
2456971.90299769,27.166,1.683,2788.413750
2456971.90300926,27.235,1.742,2782.212337
2456971.90302083,27.305,1.800,2776.014036
2456971.90303241,27.374,1.859,2769.818876
2456971.90304398,27.444,1.918,2763.626887
2456971.90305556,27.515,1.977,2757.438097
2456971.90306713,27.585,2.037,2751.252537
2456971.90307870,27.656,2.096,2745.070235
2456971.90309028,27.727,2.156,2738.891223
2456971.90310185,27.799,2.215,2732.715529
2456971.90311343,27.871,2.275,2726.543184
2456971.90312500,27.943,2.335,2720.374221
2456971.90313657,28.015,2.395,2714.208668
2456971.90314815,28.088,2.455,2708.046557
2456971.90315972,28.161,2.515,2701.887919
2456971.90317130,28.235,2.575,2695.732786
2456971.90318287,28.308,2.635,2689.581191
2456971.90319444,28.383,2.696,2683.433165
2456971.90320602,28.457,2.757,2677.288741
2456971.90321759,28.532,2.817,2671.147951
2456971.90322917,28.607,2.878,2665.010829
2456971.90324074,28.682,2.939,2658.877407
2456971.90325231,28.758,3.000,2652.747720
2456971.90326389,28.834,3.062,2646.621800
2456971.90327546,28.910,3.123,2640.499683
2456971.90328704,28.987,3.184,2634.381402
2456971.90329861,29.064,3.246,2628.266993
2456971.90331019,29.142,3.308,2622.156489
2456971.90332176,29.220,3.370,2616.049926
2456971.90333333,29.298,3.431,2609.947340
2456971.90334491,29.376,3.494,2603.848767
2456971.90335648,29.455,3.556,2597.754242
2456971.90336806,29.535,3.618,2591.663804
2456971.90337963,29.614,3.681,2585.577486
2456971.90339120,29.694,3.743,2579.495326
2456971.90340278,29.775,3.806,2573.417363
2456971.90341435,29.855,3.869,2567.343633
2456971.90342593,29.937,3.932,2561.274174
2456971.90343750,30.018,3.995,2555.209025
2456971.90344907,30.100,4.058,2549.148225
2456971.90346065,30.182,4.121,2543.091811
2456971.90347222,30.265,4.185,2537.039824
2456971.90348380,30.348,4.248,2530.992303
2456971.90349537,30.431,4.312,2524.949288
2456971.90350694,30.515,4.376,2518.910819
2456971.90351852,30.599,4.440,2512.876936
2456971.90353009,30.684,4.504,2506.847681
2456971.90354167,30.769,4.568,2500.823095
2456971.90355324,30.855,4.633,2494.803219
2456971.90356481,30.940,4.697,2488.788095
2456971.90357639,31.027,4.762,2482.777766
2456971.90358796,31.113,4.827,2476.772275
2456971.90359954,31.201,4.892,2470.771663
2456971.90361111,31.288,4.957,2464.775976
2456971.90362269,31.376,5.022,2458.785256
2456971.90363426,31.464,5.088,2452.799547
2456971.90364583,31.553,5.153,2446.818895
2456971.90365741,31.642,5.219,2440.843344
2456971.90366898,31.732,5.284,2434.872939
2456971.90368056,31.822,5.350,2428.907726
2456971.90369213,31.913,5.416,2422.947752
2456971.90370370,32.004,5.483,2416.993062
2456971.90371528,32.095,5.549,2411.043704
2456971.90372685,32.187,5.615,2405.099724
2456971.90373843,32.280,5.682,2399.161171
2456971.90375000,32.372,5.749,2393.228093
2456971.90376157,32.466,5.816,2387.300537
2456971.90377315,32.560,5.883,2381.378554
2456971.90378472,32.654,5.950,2375.462193
