"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.87138889,112.694,3.843,2522.355714
2456971.87140046,112.852,3.813,2525.159650
2456971.87141204,113.011,3.782,2527.979561
2456971.87142361,113.168,3.752,2530.815393
2456971.87143519,113.326,3.721,2533.667089
2456971.87144676,113.483,3.690,2536.534593
2456971.87145833,113.640,3.659,2539.417850
2456971.87146991,113.797,3.628,2542.316803
2456971.87148148,113.953,3.597,2545.231397
2456971.87149306,114.109,3.566,2548.161575
2456971.87150463,114.264,3.535,2551.107282
2456971.87151620,114.419,3.503,2554.068461
2456971.87152778,114.574,3.472,2557.045056
2456971.87153935,114.728,3.440,2560.037010
2456971.87155093,114.882,3.408,2563.044268
2456971.87156250,115.036,3.376,2566.066773
2456971.87157407,115.189,3.344,2569.104469
2456971.87158565,115.342,3.312,2572.157299
2456971.87159722,115.494,3.280,2575.225206
2456971.87160880,115.646,3.247,2578.308135
2456971.87162037,115.798,3.215,2581.406029
2456971.87163194,115.949,3.182,2584.518832
2456971.87164352,116.100,3.149,2587.646487
2456971.87165509,116.251,3.117,2590.788937
2456971.87166667,116.401,3.084,2593.946126
2456971.87167824,116.551,3.051,2597.117998
2456971.87168981,116.701,3.018,2600.304497
2456971.87170139,116.850,2.984,2603.505565
2456971.87171296,116.999,2.951,2606.721146
2456971.87172454,117.147,2.918,2609.951184
2456971.87173611,117.295,2.884,2613.195622
2456971.87174769,117.443,2.851,2616.454401
2456971.87175926,117.590,2.817,2619.727471
2456971.87177083,117.737,2.783,2623.014773
2456971.87178241,117.884,2.749,2626.316249
2456971.87179398,118.030,2.715,2629.631844
2456971.87180556,118.176,2.681,2632.961501
2456971.87181713,118.321,2.647,2636.305164
2456971.87182870,118.466,2.613,2639.662778
2456971.87184028,118.611,2.578,2643.034285
2456971.87185185,118.755,2.544,2646.419627
2456971.87186343,118.899,2.509,2649.818754
2456971.87187500,119.043,2.475,2653.231606
2456971.87188657,119.186,2.440,2656.658128
2456971.87189815,119.329,2.405,2660.098264
2456971.87190972,119.471,2.370,2663.551958
2456971.87192130,119.613,2.336,2667.019155
2456971.87193287,119.755,2.300,2670.499794
2456971.87194444,119.897,2.265,2673.993828
2456971.87195602,120.038,2.230,2677.501197
2456971.87196759,120.178,2.195,2681.021846
2456971.87197917,120.318,2.160,2684.555720
2456971.87199074,120.458,2.124,2688.102762
2456971.87200231,120.598,2.089,2691.662915
2456971.87201389,120.737,2.053,2695.236130
2456971.87202546,120.876,2.017,2698.822349
2456971.87203704,121.014,1.982,2702.421515
2456971.87204861,121.152,1.946,2706.033575
2456971.87206019,121.290,1.910,2709.658471
2456971.87207176,121.427,1.874,2713.296154
2456971.87208333,121.564,1.838,2716.946565
2456971.87209491,121.701,1.802,2720.609652
2456971.87210648,121.837,1.766,2724.285358
2456971.87211806,121.973,1.730,2727.973627
2456971.87212963,122.108,1.694,2731.674410
2456971.87214120,122.243,1.657,2735.387651
2456971.87215278,122.378,1.621,2739.113294
2456971.87216435,122.512,1.584,2742.851284
2456971.87217593,122.646,1.548,2746.601572
2456971.87218750,122.780,1.511,2750.364101
2456971.87219907,122.913,1.475,2754.138818
2456971.87221065,123.046,1.438,2757.925666
2456971.87222222,123.179,1.401,2761.724598
2456971.87223380,123.311,1.364,2765.535558
2456971.87224537,123.443,1.327,2769.358491
2456971.87225694,123.574,1.291,2773.193343
2456971.87226852,123.705,1.254,2777.040066
2456971.87228009,123.836,1.216,2780.898604
2456971.87229167,123.966,1.179,2784.768902
2456971.87230324,124.096,1.142,2788.650913
2456971.87231481,124.226,1.105,2792.544581
2456971.87232639,124.355,1.068,2796.449854
2456971.87233796,124.484,1.030,2800.366677
2456971.87234954,124.613,0.993,2804.295004
2456971.87236111,124.741,0.956,2808.234779
2456971.87237269,124.869,0.918,2812.185949
2456971.87238426,124.996,0.881,2816.148466
2456971.87239583,125.123,0.843,2820.122278
2456971.87240741,125.250,0.805,2824.107328
2456971.87241898,125.377,0.768,2828.103573
2456971.87243056,125.503,0.730,2832.110957
2456971.87244213,125.628,0.692,2836.129427
2456971.87245370,125.754,0.654,2840.158937
2456971.87246528,125.879,0.617,2844.199435
2456971.87247685,126.003,0.579,2848.250866
2456971.87248843,126.128,0.541,2852.313186
2456971.87250000,126.252,0.503,2856.386341
2456971.87251157,126.375,0.465,2860.470279
2456971.87252315,126.499,0.427,2864.564955
2456971.87253472,126.622,0.389,2868.670314
2456971.87254630,126.744,0.350,2872.786311
2456971.87255787,126.866,0.312,2876.912895
2456971.87256944,126.988,0.274,2881.050012
2456971.87258102,127.110,0.236,2885.197619
2456971.87259259,127.231,0.197,2889.355665
2456971.87260417,127.352,0.159,2893.524097
2456971.87261574,127.472,0.121,2897.702871
2456971.87262731,127.592,0.082,2901.891935
2456971.87263889,127.712,0.044,2906.091245
2456971.87265046,127.832,0.005,2910.300749
2456971.87265204,127.848,0.000,2910.873800
2456971.93259630,13.790,0.000,2959.420173
2456971.93260417,13.797,0.042,2954.732097
2456971.93261574,13.807,0.103,2947.831953
2456971.93262731,13.818,0.165,2940.931774
2456971.93263889,13.829,0.227,2934.031568
2456971.93265046,13.839,0.289,2927.131346
2456971.93266204,13.850,0.351,2920.231114
2456971.93267361,13.860,0.413,2913.330880
2456971.93268519,13.871,0.475,2906.430654
2456971.93269676,13.882,0.538,2899.530445
2456971.93270833,13.893,0.601,2892.630259
2456971.93271991,13.903,0.664,2885.730107
2456971.93273148,13.914,0.727,2878.829998
2456971.93274306,13.925,0.790,2871.929938
2456971.93275463,13.936,0.853,2865.029939
2456971.93276620,13.947,0.916,2858.130008
2456971.93277778,13.958,0.980,2851.230155
2456971.93278935,13.969,1.044,2844.330388
2456971.93280093,13.980,1.108,2837.430717
2456971.93281250,13.991,1.172,2830.531151
2456971.93282407,14.002,1.236,2823.631699
2456971.93283565,14.013,1.300,2816.732370
2456971.93284722,14.024,1.365,2809.833175
2456971.93285880,14.035,1.430,2802.934122
2456971.93287037,14.047,1.495,2796.035221
2456971.93288194,14.058,1.560,2789.136482
2456971.93289352,14.069,1.625,2782.237914
2456971.93290509,14.081,1.690,2775.339526
2456971.93291667,14.092,1.756,2768.441331
2456971.93292824,14.103,1.822,2761.543335
2456971.93293981,14.115,1.888,2754.645551
2456971.93295139,14.126,1.954,2747.747987
2456971.93296296,14.138,2.020,2740.850655
2456971.93297454,14.149,2.086,2733.953564
2456971.93298611,14.161,2.153,2727.056725
2456971.93299769,14.173,2.220,2720.160149
2456971.93300926,14.184,2.287,2713.263844
2456971.93302083,14.196,2.354,2706.367823
2456971.93303241,14.208,2.422,2699.472097
2456971.93304398,14.220,2.489,2692.576674
2456971.93305556,14.231,2.557,2685.681567
2456971.93306713,14.243,2.625,2678.786787
2456971.93307870,14.255,2.693,2671.892345
2456971.93309028,14.267,2.761,2664.998251
2456971.93310185,14.279,2.830,2658.104517
2456971.93311343,14.291,2.898,2651.211155
2456971.93312500,14.303,2.967,2644.318175
2456971.93313657,14.316,3.036,2637.425589
2456971.93314815,14.328,3.106,2630.533410
2456971.93315972,14.340,3.175,2623.641647
2456971.93317130,14.352,3.245,2616.750314
2456971.93318287,14.365,3.315,2609.859422
2456971.93319444,14.377,3.385,2602.968985
2456971.93320602,14.389,3.455,2596.079012
2456971.93321759,14.402,3.526,2589.189516
2456971.93322917,14.414,3.597,2582.300512
2456971.93324074,14.427,3.668,2575.412009
2456971.93325231,14.439,3.739,2568.524021
2456971.93326389,14.452,3.810,2561.636562
2456971.93327546,14.465,3.882,2554.749643
2456971.93328704,14.477,3.954,2547.863277
2456971.93329861,14.490,4.026,2540.977478
2456971.93331019,14.503,4.098,2534.092259
2456971.93332176,14.516,4.170,2527.207632
2456971.93333333,14.529,4.243,2520.323612
2456971.93334491,14.542,4.316,2513.440212
2456971.93335648,14.555,4.389,2506.557445
2456971.93336806,14.568,4.463,2499.675324
2456971.93337963,14.581,4.536,2492.793866
2456971.93339120,14.594,4.610,2485.913083
2456971.93340278,14.608,4.684,2479.032988
2456971.93341435,14.621,4.759,2472.153597
2456971.93342593,14.634,4.833,2465.274925
2456971.93343750,14.648,4.908,2458.396985
2456971.93344907,14.661,4.983,2451.519792
2456971.93346065,14.675,5.059,2444.643362
2456971.93347222,14.688,5.134,2437.767708
2456971.93348380,14.702,5.210,2430.892847
2456971.93349537,14.716,5.286,2424.018793
2456971.93350694,14.729,5.363,2417.145563
2456971.93351852,14.743,5.439,2410.273170
2456971.93353009,14.757,5.516,2403.401632
2456971.93354167,14.771,5.593,2396.530965
2456971.93355324,14.785,5.671,2389.661183
2456971.93356481,14.799,5.748,2382.792303
2456971.93357639,14.813,5.826,2375.924343
2456971.93358796,14.827,5.905,2369.057318
2456971.93359954,14.841,5.983,2362.191245
2456971.93361111,14.856,6.062,2355.326140
2456971.93362269,14.870,6.141,2348.462022
2456971.93363426,14.885,6.220,2341.598907
2456971.93364583,14.899,6.300,2334.736812
2456971.93365741,14.914,6.380,2327.875755
2456971.93366898,14.928,6.460,2321.015755
2456971.93368056,14.943,6.540,2314.156828
2456971.93369213,14.958,6.621,2307.298992
2456971.93370370,14.973,6.702,2300.442268
2456971.93371528,14.988,6.784,2293.586671
2456971.93372685,15.002,6.865,2286.732222
2456971.93373843,15.018,6.947,2279.878940
2456971.93375000,15.033,7.030,2273.026843
2456971.93376157,15.048,7.112,2266.175950
2456971.93377315,15.063,7.195,2259.326282
2456971.93378472,15.078,7.278,2252.477858
2456971.93379630,15.094,7.362,2245.630697
2456971.93380787,15.109,7.446,2238.784821
2456971.93381944,15.125,7.530,2231.940248
