"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.74179398,124.652,6.815,2031.654488
2456971.74180556,124.835,6.768,2035.428961
2456971.74181713,125.018,6.721,2039.221454
2456971.74182870,125.200,6.674,2043.031867
2456971.74184028,125.382,6.626,2046.860094
2456971.74185185,125.562,6.578,2050.706028
2456971.74186343,125.742,6.531,2054.569572
2456971.74187500,125.922,6.483,2058.450620
2456971.74188657,126.100,6.435,2062.349069
2456971.74189815,126.278,6.387,2066.264814
2456971.74190972,126.455,6.339,2070.197759
2456971.74192130,126.632,6.291,2074.147798
2456971.74193287,126.808,6.243,2078.114828
2456971.74194444,126.983,6.194,2082.098752
2456971.74195602,127.157,6.146,2086.099468
2456971.74196759,127.331,6.098,2090.116872
2456971.74197917,127.504,6.049,2094.150870
2456971.74199074,127.676,6.000,2098.201359
2456971.74200231,127.848,5.952,2102.268236
2456971.74201389,128.019,5.903,2106.351408
2456971.74202546,128.189,5.854,2110.450774
2456971.74203704,128.359,5.805,2114.566233
2456971.74204861,128.528,5.756,2118.697691
2456971.74206019,128.696,5.707,2122.845047
2456971.74207176,128.863,5.658,2127.008207
2456971.74208333,129.030,5.609,2131.187073
2456971.74209491,129.197,5.560,2135.381545
2456971.74210648,129.362,5.510,2139.591533
2456971.74211806,129.527,5.461,2143.816935
2456971.74212963,129.691,5.412,2148.057662
2456971.74214120,129.855,5.362,2152.313615
2456971.74215278,130.018,5.313,2156.584698
2456971.74216435,130.180,5.263,2160.870821
2456971.74217593,130.341,5.214,2165.171887
2456971.74218750,130.502,5.164,2169.487806
2456971.74219907,130.662,5.114,2173.818480
2456971.74221065,130.822,5.065,2178.163823
2456971.74222222,130.981,5.015,2182.523739
2456971.74223380,131.139,4.965,2186.898134
2456971.74224537,131.297,4.915,2191.286922
2456971.74225694,131.454,4.865,2195.690007
2456971.74226852,131.610,4.815,2200.107303
2456971.74228009,131.766,4.765,2204.538716
2456971.74229167,131.921,4.715,2208.984161
2456971.74230324,132.075,4.665,2213.443544
2456971.74231481,132.229,4.615,2217.916781
2456971.74232639,132.382,4.565,2222.403778
2456971.74233796,132.535,4.515,2226.904453
2456971.74234954,132.687,4.465,2231.418713
2456971.74236111,132.838,4.415,2235.946477
2456971.74237269,132.989,4.365,2240.487652
2456971.74238426,133.139,4.315,2245.042157
2456971.74239583,133.288,4.264,2249.609902
2456971.74240741,133.437,4.214,2254.190806
2456971.74241898,133.585,4.164,2258.784780
2456971.74243056,133.733,4.114,2263.391744
2456971.74244213,133.880,4.063,2268.011608
2456971.74245370,134.026,4.013,2272.644295
2456971.74246528,134.172,3.963,2277.289717
2456971.74247685,134.317,3.912,2281.947792
2456971.74248843,134.461,3.862,2286.618441
2456971.74250000,134.605,3.812,2291.301578
2456971.74251157,134.749,3.761,2295.997125
2456971.74252315,134.891,3.711,2300.704998
2456971.74253472,135.033,3.661,2305.425120
2456971.74254630,135.175,3.610,2310.157407
2456971.74255787,135.316,3.560,2314.901780
2456971.74256944,135.456,3.509,2319.658164
2456971.74258102,135.596,3.459,2324.426475
2456971.74259259,135.735,3.409,2329.206639
2456971.74260417,135.874,3.358,2333.998573
2456971.74261574,136.012,3.308,2338.802206
2456971.74262731,136.150,3.257,2343.617454
2456971.74263889,136.287,3.207,2348.444243
2456971.74265046,136.423,3.157,2353.282501
2456971.74266204,136.559,3.106,2358.132146
2456971.74267361,136.694,3.056,2362.993105
2456971.74268519,136.829,3.005,2367.865307
2456971.74269676,136.963,2.955,2372.748671
2456971.74270833,137.096,2.905,2377.643128
2456971.74271991,137.229,2.854,2382.548600
2456971.74273148,137.362,2.804,2387.465016
2456971.74274306,137.494,2.754,2392.392306
2456971.74275463,137.625,2.703,2397.330393
2456971.74276620,137.756,2.653,2402.279207
2456971.74277778,137.886,2.603,2407.238678
2456971.74278935,138.016,2.552,2412.208732
2456971.74280093,138.145,2.502,2417.189300
2456971.74281250,138.274,2.452,2422.180313
2456971.74282407,138.402,2.401,2427.181698
2456971.74283565,138.530,2.351,2432.193388
2456971.74284722,138.657,2.301,2437.215315
2456971.74285880,138.783,2.251,2442.247407
2456971.74287037,138.909,2.200,2447.289597
2456971.74288194,139.035,2.150,2452.341820
2456971.74289352,139.160,2.100,2457.404004
2456971.74290509,139.284,2.050,2462.476085
2456971.74291667,139.408,2.000,2467.557999
2456971.74292824,139.532,1.949,2472.649673
2456971.74293981,139.655,1.899,2477.751046
2456971.74295139,139.777,1.849,2482.862054
2456971.74296296,139.899,1.799,2487.982628
2456971.74297454,140.021,1.749,2493.112704
2456971.74298611,140.142,1.699,2498.252220
2456971.74299769,140.262,1.649,2503.401114
2456971.74300926,140.382,1.599,2508.559318
2456971.74302083,140.501,1.549,2513.726770
2456971.74303241,140.620,1.499,2518.903411
2456971.74304398,140.739,1.449,2524.089175
2456971.74305556,140.857,1.399,2529.284001
2456971.74306713,140.974,1.349,2534.487828
2456971.74307870,141.092,1.300,2539.700597
2456971.74309028,141.208,1.250,2544.922244
2456971.74310185,141.324,1.200,2550.152710
2456971.74311343,141.440,1.150,2555.391935
2456971.74312500,141.555,1.100,2560.639862
2456971.74313657,141.670,1.051,2565.896428
2456971.74314815,141.784,1.001,2571.161575
2456971.74315972,141.898,0.951,2576.435246
2456971.74317130,142.011,0.902,2581.717385
2456971.74318287,142.124,0.852,2587.007929
2456971.74319444,142.236,0.802,2592.306824
2456971.74320602,142.348,0.753,2597.614012
2456971.74321759,142.460,0.703,2602.929439
2456971.74322917,142.571,0.654,2608.253045
2456971.74324074,142.681,0.604,2613.584776
2456971.74325231,142.791,0.555,2618.924576
2456971.74326389,142.901,0.505,2624.272391
2456971.74327546,143.010,0.456,2629.628167
2456971.74328704,143.119,0.407,2634.991846
2456971.74329861,143.228,0.357,2640.363376
2456971.74331019,143.336,0.308,2645.742703
2456971.74332176,143.443,0.259,2651.129774
2456971.74333333,143.550,0.210,2656.524537
2456971.74334491,143.657,0.160,2661.926936
2456971.74335648,143.763,0.111,2667.336921
2456971.74336806,143.869,0.062,2672.754440
2456971.74337963,143.974,0.013,2678.179440
2456971.74338268,144.002,0.000,2679.608729
2456971.80179037,7.036,0.000,2697.787592
2456971.80179398,7.030,0.020,2695.599331
2456971.80180556,7.009,0.082,2688.591999
2456971.80181713,6.988,0.146,2681.585064
2456971.80182870,6.968,0.209,2674.578539
2456971.80184028,6.947,0.272,2667.572434
2456971.80185185,6.926,0.336,2660.566763
2456971.80186343,6.905,0.399,2653.561538
2456971.80187500,6.884,0.463,2646.556771
2456971.80188657,6.862,0.527,2639.552473
2456971.80189815,6.841,0.591,2632.548659
2456971.80190972,6.819,0.656,2625.545341
2456971.80192130,6.797,0.720,2618.542530
2456971.80193287,6.775,0.785,2611.540240
2456971.80194444,6.753,0.850,2604.538485
2456971.80195602,6.731,0.915,2597.537276
2456971.80196759,6.709,0.980,2590.536628
2456971.80197917,6.686,1.045,2583.536553
2456971.80199074,6.663,1.111,2576.537066
2456971.80200231,6.641,1.177,2569.538178
2456971.80201389,6.618,1.243,2562.539905
2456971.80202546,6.595,1.309,2555.542260
2456971.80203704,6.571,1.375,2548.545257
2456971.80204861,6.548,1.442,2541.548910
2456971.80206019,6.524,1.508,2534.553234
2456971.80207176,6.501,1.575,2527.558241
2456971.80208333,6.477,1.642,2520.563948
2456971.80209491,6.453,1.710,2513.570368
2456971.80210648,6.429,1.777,2506.577517
2456971.80211806,6.404,1.845,2499.585408
2456971.80212963,6.380,1.913,2492.594058
2456971.80214120,6.355,1.981,2485.603481
2456971.80215278,6.330,2.049,2478.613693
2456971.80216435,6.305,2.118,2471.624709
2456971.80217593,6.280,2.186,2464.636544
2456971.80218750,6.255,2.255,2457.649215
2456971.80219907,6.230,2.324,2450.662737
2456971.80221065,6.204,2.393,2443.677126
2456971.80222222,6.178,2.463,2436.692398
2456971.80223380,6.152,2.533,2429.708571
2456971.80224537,6.126,2.603,2422.725660
2456971.80225694,6.100,2.673,2415.743681
2456971.80226852,6.073,2.743,2408.762653
2456971.80228009,6.046,2.814,2401.782592
2456971.80229167,6.019,2.885,2394.803515
2456971.80230324,5.992,2.956,2387.825439
