"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48663194,4.666,27.091,1265.080429
2456971.48664352,4.601,27.292,1259.034503
2456971.48665509,4.535,27.495,1253.000787
2456971.48666667,4.468,27.700,1246.979467
2456971.48667824,4.400,27.906,1240.970729
2456971.48668981,4.332,28.114,1234.974765
2456971.48670139,4.262,28.324,1228.991768
2456971.48671296,4.191,28.535,1223.021937
2456971.48672454,4.120,28.748,1217.065473
2456971.48673611,4.047,28.963,1211.122580
2456971.48674769,3.973,29.179,1205.193466
2456971.48675926,3.898,29.398,1199.278343
2456971.48677083,3.822,29.618,1193.377426
2456971.48678241,3.745,29.840,1187.490934
2456971.48679398,3.667,30.064,1181.619090
2456971.48680556,3.587,30.289,1175.762120
2456971.48681713,3.507,30.517,1169.920255
2456971.48682870,3.425,30.746,1164.093730
2456971.48684028,3.342,30.978,1158.282783
2456971.48685185,3.257,31.211,1152.487656
2456971.48686343,3.171,31.447,1146.708598
2456971.48687500,3.084,31.684,1140.945859
2456971.48688657,2.995,31.923,1135.199695
2456971.48689815,2.905,32.165,1129.470365
2456971.48690972,2.814,32.408,1123.758135
2456971.48692130,2.721,32.654,1118.063273
2456971.48693287,2.626,32.902,1112.386054
2456971.48694444,2.530,33.151,1106.726754
2456971.48695602,2.433,33.403,1101.085659
2456971.48696759,2.334,33.657,1095.463056
2456971.48697917,2.233,33.914,1089.859238
2456971.48699074,2.130,34.172,1084.274503
2456971.48700231,2.026,34.433,1078.709154
2456971.48701389,1.919,34.696,1073.163501
2456971.48702546,1.811,34.962,1067.637856
2456971.48703704,1.702,35.230,1062.132539
2456971.48704861,1.590,35.500,1056.647875
2456971.48706019,1.476,35.772,1051.184193
2456971.48707176,1.360,36.047,1045.741828
2456971.48708333,1.242,36.324,1040.321123
2456971.48709491,1.122,36.604,1034.922424
2456971.48710648,1.000,36.886,1029.546084
2456971.48711806,0.875,37.171,1024.192462
2456971.48712963,0.748,37.458,1018.861922
2456971.48714120,0.619,37.748,1013.554836
2456971.48715278,0.487,38.040,1008.271579
2456971.48716435,0.353,38.335,1003.012536
2456971.48717593,0.216,38.632,997.778096
2456971.48718750,0.077,38.932,992.568654
2456971.48719907,359.934,39.235,987.384612
2456971.48721065,359.789,39.541,982.226380
2456971.48722222,359.641,39.849,977.094371
2456971.48723380,359.491,40.159,971.989009
2456971.48724537,359.337,40.473,966.910720
2456971.48725694,359.180,40.789,961.859942
2456971.48726852,359.019,41.108,956.837114
2456971.48728009,358.856,41.430,951.842686
2456971.48729167,358.688,41.755,946.877115
2456971.48730324,358.518,42.082,941.940861
2456971.48731481,358.343,42.412,937.034394
2456971.48732639,358.165,42.745,932.158192
2456971.48733796,357.983,43.081,927.312738
2456971.48734954,357.797,43.420,922.498521
2456971.48736111,357.607,43.762,917.716040
2456971.48737269,357.413,44.106,912.965800
2456971.48738426,357.214,44.454,908.248312
2456971.48739583,357.011,44.804,903.564094
2456971.48740741,356.803,45.158,898.913674
2456971.48741898,356.590,45.514,894.297583
2456971.48743056,356.372,45.873,889.716363
2456971.48744213,356.149,46.235,885.170560
2456971.48745370,355.920,46.600,880.660728
2456971.48746528,355.686,46.968,876.187429
2456971.48747685,355.446,47.339,871.751231
2456971.48748843,355.201,47.713,867.352707
2456971.48750000,354.949,48.090,862.992441
2456971.48751157,354.690,48.469,858.671019
2456971.48752315,354.425,48.852,854.389038
2456971.48753472,354.153,49.237,850.147097
2456971.48754630,353.874,49.625,845.945806
2456971.48755787,353.588,50.017,841.785778
2456971.48756944,353.294,50.410,837.667632
2456971.48758102,352.992,50.807,833.591996
2456971.48759259,352.682,51.206,829.559500
2456971.48760417,352.363,51.608,825.570781
2456971.48761574,352.035,52.013,821.626483
2456971.48762731,351.698,52.420,817.727253
2456971.48763889,351.351,52.830,813.873744
2456971.48765046,350.994,53.242,810.066613
2456971.48766204,350.627,53.657,806.306522
2456971.48767361,350.249,54.074,802.594137
2456971.48768519,349.859,54.494,798.930127
2456971.48769676,349.458,54.915,795.315167
2456971.48770833,349.044,55.339,791.749931
2456971.48771991,348.618,55.765,788.235100
2456971.48773148,348.178,56.192,784.771356
2456971.48774306,347.724,56.622,781.359382
2456971.48775463,347.255,57.053,777.999863
2456971.48776620,346.771,57.486,774.693487
2456971.48777778,346.271,57.920,771.440941
2456971.48778935,345.755,58.356,768.242912
2456971.48780093,345.221,58.792,765.100089
2456971.48781250,344.669,59.230,762.013159
2456971.48782407,344.098,59.668,758.982808
2456971.48783565,343.507,60.107,756.009719
2456971.48784722,342.895,60.547,753.094576
2456971.48785880,342.262,60.986,750.238056
2456971.48787037,341.605,61.426,747.440837
2456971.48788194,340.925,61.865,744.703590
2456971.48789352,340.220,62.303,742.026982
2456971.48790509,339.489,62.741,739.411676
2456971.48791667,338.730,63.178,736.858327
2456971.48792824,337.942,63.612,734.367585
2456971.48793981,337.125,64.046,731.940092
2456971.48795139,336.276,64.477,729.576484
2456971.48796296,335.395,64.905,727.277386
2456971.48797454,334.479,65.330,725.043415
2456971.48798611,333.527,65.752,722.875177
2456971.48799769,332.538,66.170,720.773270
2456971.48800926,331.510,66.583,718.738276
2456971.48802083,330.441,66.991,716.770770
2456971.48803241,329.329,67.394,714.871312
2456971.48804398,328.174,67.791,713.040447
2456971.48805556,326.973,68.181,711.278707
2456971.48806713,325.725,68.563,709.586612
2456971.48807870,324.428,68.938,707.964660
2456971.48809028,323.081,69.303,706.413339
2456971.48810185,321.682,69.659,704.933117
2456971.48811343,320.230,70.005,703.524445
2456971.48812500,318.723,70.339,702.187754
2456971.48813657,317.162,70.662,700.923460
2456971.48814815,315.545,70.971,699.731956
2456971.48815972,313.872,71.267,698.613617
2456971.48817130,312.144,71.548,697.568797
2456971.48818287,310.360,71.813,696.597826
2456971.48819444,308.521,72.062,695.701017
2456971.48820602,306.630,72.293,694.878658
2456971.48821759,304.688,72.506,694.131014
2456971.48822917,302.697,72.700,693.458329
2456971.48824074,300.661,72.874,692.860822
2456971.48825231,298.584,73.027,692.338690
2456971.48826389,296.470,73.158,691.892102
2456971.48827546,294.323,73.268,691.521208
2456971.48828704,292.150,73.355,691.226128
2456971.48829861,289.955,73.419,691.006962
2456971.48831019,287.747,73.459,690.863782
2456971.48832176,285.530,73.476,690.796637
2456971.48833333,283.311,73.469,690.805547
2456971.48834491,281.098,73.439,690.890512
2456971.48835648,278.896,73.385,691.051502
2456971.48836806,276.712,73.308,691.288466
2456971.48837963,274.553,73.208,691.601326
2456971.48839120,272.423,73.086,691.989977
2456971.48840278,270.328,72.942,692.454293
2456971.48841435,268.272,72.777,692.994120
2456971.48842593,266.261,72.592,693.609284
2456971.48843750,264.296,72.387,694.299582
2456971.48844907,262.381,72.163,695.064792
2456971.48846065,260.518,71.922,695.904664
2456971.48847222,258.709,71.663,696.818929
2456971.48848380,256.954,71.389,697.807292
2456971.48849537,255.256,71.099,698.869441
2456971.48850694,253.613,70.795,700.005036
2456971.48851852,252.026,70.478,701.213722
2456971.48853009,250.495,70.148,702.495117
2456971.48854167,249.018,69.806,703.848826
2456971.48855324,247.594,69.454,705.274431
2456971.48856481,246.223,69.092,706.771493
2456971.48857639,244.903,68.721,708.339561
2456971.48858796,243.633,68.341,709.978160
2456971.48859954,242.410,67.953,711.686804
2456971.48861111,241.234,67.559,713.464986
2456971.48862269,240.103,67.158,715.312185
2456971.48863426,239.015,66.751,717.227869
2456971.48864583,237.968,66.338,719.211486
2456971.48865741,236.961,65.921,721.262475
2456971.48866898,235.992,65.500,723.380261
2456971.48868056,235.060,65.076,725.564256
2456971.48869213,234.163,64.647,727.813861
2456971.48870370,233.299,64.217,730.128469
2456971.48871528,232.467,63.783,732.507461
2456971.48872685,231.666,63.348,734.950208
2456971.48873843,230.894,62.911,737.456075
2456971.48875000,230.150,62.472,740.024418
2456971.48876157,229.433,62.033,742.654587
2456971.48877315,228.741,61.593,745.345923
2456971.48878472,228.074,61.152,748.097764
2456971.48879630,227.430,60.711,750.909442
2456971.48880787,226.808,60.271,753.780284
2456971.48881944,226.207,59.830,756.709613
2456971.48883102,225.627,59.390,759.696751
2456971.48884259,225.066,58.951,762.741013
2456971.48885417,224.524,58.513,765.841717
2456971.48886574,223.999,58.075,768.998176
2456971.48887731,223.492,57.639,772.209702
2456971.48888889,223.001,57.204,775.475608
2456971.48890046,222.525,56.771,778.795207
2456971.48891204,222.064,56.339,782.167811
2456971.48892361,221.617,55.909,785.592733
2456971.48893519,221.185,55.481,789.069291
2456971.48894676,220.765,55.055,792.596798
2456971.48895833,220.358,54.631,796.174574
2456971.48896991,219.962,54.210,799.801941
2456971.48898148,219.579,53.790,803.478224
2456971.48899306,219.206,53.373,807.202750
2456971.48900463,218.845,52.958,810.974850
2456971.48901620,218.493,52.546,814.793858
2456971.48902778,218.151,52.136,818.659115
2456971.48903935,217.819,51.729,822.569966
2456971.48905093,217.496,51.324,826.525756
2456971.48906250,217.181,50.923,830.525840
2456971.48907407,216.875,50.523,834.569578
2456971.48908565,216.577,50.127,838.656332
2456971.48909722,216.287,49.733,842.785472
2456971.48910880,216.004,49.343,846.956375
2456971.48912037,215.729,48.955,851.168421
2456971.48913194,215.461,48.570,855.420999
2456971.48914352,215.199,48.187,859.713500
2456971.48915509,214.944,47.808,864.045326
2456971.48916667,214.695,47.432,868.415885
2456971.48917824,214.452,47.058,872.824588
2456971.48918981,214.215,46.688,877.270856
2456971.48920139,213.984,46.320,881.754115
2456971.48921296,213.758,45.955,886.273800
2456971.48922454,213.537,45.593,890.829350
2456971.48923611,213.322,45.235,895.420214
2456971.48924769,213.111,44.879,900.045844
2456971.48925926,212.905,44.526,904.705705
2456971.48927083,212.704,44.176,909.399262
2456971.48928241,212.507,43.829,914.125994
2456971.48929398,212.315,43.485,918.885381
2456971.48930556,212.127,43.143,923.676913
2456971.48931713,211.942,42.805,928.500090
2456971.48932870,211.762,42.469,933.354412
2456971.48934028,211.586,42.137,938.239392
2456971.48935185,211.413,41.807,943.154549
2456971.48936343,211.244,41.480,948.099406
2456971.48937500,211.078,41.156,953.073497
2456971.48938657,210.916,40.834,958.076361
2456971.48939815,210.757,40.516,963.107541
2456971.48940972,210.601,40.200,968.166593
2456971.48942130,210.449,39.887,973.253076
2456971.48943287,210.299,39.577,978.366555
2456971.48944444,210.152,39.269,983.506606
2456971.48945602,210.008,38.964,988.672806
2456971.48946759,209.867,38.662,993.864742
2456971.48947917,209.729,38.362,999.082006
2456971.48949074,209.593,38.065,1004.324200
2456971.48950231,209.460,37.771,1009.590928
2456971.48951389,209.329,37.479,1014.881802
2456971.48952546,209.201,37.189,1020.196439
2456971.48953704,209.074,36.903,1025.534467
2456971.48954861,208.951,36.618,1030.895514
2456971.48956019,208.829,36.337,1036.279217
2456971.48957176,208.710,36.057,1041.685218
2456971.48958333,208.592,35.781,1047.113167
2456971.48959491,208.477,35.506,1052.562717
2456971.48960648,208.364,35.234,1058.033529
2456971.48961806,208.253,34.964,1063.525268
2456971.48962963,208.143,34.697,1069.037605
2456971.48964120,208.036,34.432,1074.570216
2456971.48965278,207.930,34.169,1080.122785
2456971.48966435,207.826,33.909,1085.694999
2456971.48967593,207.724,33.651,1091.286551
2456971.48968750,207.623,33.395,1096.897137
2456971.48969907,207.525,33.141,1102.526461
2456971.48971065,207.427,32.889,1108.174232
2456971.48972222,207.332,32.640,1113.840160
2456971.48973380,207.237,32.392,1119.523966
2456971.48974537,207.145,32.147,1125.225372
2456971.48975694,207.054,31.904,1130.944104
2456971.48976852,206.964,31.663,1136.679895
2456971.48978009,206.875,31.424,1142.432481
2456971.48979167,206.788,31.187,1148.201604
2456971.48980324,206.703,30.952,1153.987007
2456971.48981481,206.618,30.719,1159.788442
2456971.48982639,206.535,30.488,1165.605662
2456971.48983796,206.454,30.259,1171.438425
2456971.48984954,206.373,30.032,1177.286494
2456971.48986111,206.294,29.806,1183.149634
2456971.48987269,206.215,29.583,1189.027617
2456971.48988426,206.138,29.361,1194.920215
2456971.48989583,206.062,29.141,1200.827208
2456971.48990741,205.987,28.923,1206.748378
2456971.48991898,205.913,28.707,1212.683510
2456971.48993056,205.841,28.493,1218.632392
2456971.48994213,205.769,28.280,1224.594818
2456971.48995370,205.698,28.069,1230.570584
2456971.48996528,205.629,27.859,1236.559490
2456971.48997685,205.560,27.652,1242.561338
2456971.48998843,205.492,27.446,1248.575936
2456971.49000000,205.425,27.241,1254.603093
2456971.49001157,205.359,27.039,1260.642621
2456971.49002315,205.294,26.838,1266.694338
2456971.49003472,205.230,26.638,1272.758061
2456971.49004630,205.167,26.440,1278.833614
2456971.49005787,205.104,26.244,1284.920821
2456971.49006944,205.043,26.049,1291.019513
2456971.49008102,204.982,25.855,1297.129516
2456971.49009259,204.922,25.663,1303.250667
2456971.49010417,204.862,25.473,1309.382802
2456971.49011574,204.804,25.284,1315.525760
2456971.49012731,204.746,25.096,1321.679384
2456971.49013889,204.689,24.910,1327.843517
2456971.49015046,204.633,24.726,1334.018008
2456971.49016204,204.577,24.542,1340.202705
2456971.49017361,204.522,24.360,1346.397462
2456971.49018519,204.468,24.180,1352.602132
2456971.49019676,204.415,24.000,1358.816573
2456971.49020833,204.362,23.823,1365.040643
2456971.49021991,204.310,23.646,1371.274206
2456971.49023148,204.258,23.471,1377.517124
2456971.49024306,204.207,23.297,1383.769264
2456971.49025463,204.157,23.124,1390.030496
2456971.49026620,204.107,22.952,1396.300686
2456971.49027778,204.058,22.782,1402.579710
2456971.49028935,204.010,22.613,1408.867442
2456971.49030093,203.962,22.445,1415.163758
2456971.49031250,203.914,22.279,1421.468537
2456971.49032407,203.867,22.113,1427.781660
2456971.49033565,203.821,21.949,1434.103009
2456971.49034722,203.775,21.786,1440.432469
2456971.49035880,203.730,21.624,1446.769925
2456971.49037037,203.685,21.463,1453.115267
2456971.49038194,203.641,21.303,1459.468383
2456971.49039352,203.597,21.144,1465.829165
2456971.49040509,203.554,20.987,1472.197506
2456971.49041667,203.512,20.830,1478.573301
2456971.49042824,203.469,20.675,1484.956448
2456971.49043981,203.428,20.520,1491.346843
2456971.49045139,203.386,20.367,1497.744387
2456971.49046296,203.345,20.215,1504.148983
2456971.49047454,203.305,20.063,1510.560531
