"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.70202546,30.194,6.916,2415.276573
2456971.70203704,30.035,6.878,2418.507295
2456971.70204861,29.876,6.839,2421.754508
2456971.70206019,29.718,6.801,2425.018140
2456971.70207176,29.560,6.763,2428.298125
2456971.70208333,29.403,6.724,2431.594391
2456971.70209491,29.246,6.685,2434.906868
2456971.70210648,29.090,6.646,2438.235488
2456971.70211806,28.934,6.608,2441.580180
2456971.70212963,28.779,6.568,2444.940876
2456971.70214120,28.624,6.529,2448.317504
2456971.70215278,28.469,6.490,2451.709997
2456971.70216435,28.315,6.450,2455.118282
2456971.70217593,28.162,6.411,2458.542294
2456971.70218750,28.009,6.371,2461.981962
2456971.70219907,27.856,6.331,2465.437217
2456971.70221065,27.704,6.292,2468.907989
2456971.70222222,27.552,6.252,2472.394210
2456971.70223380,27.401,6.211,2475.895809
2456971.70224537,27.250,6.171,2479.412718
2456971.70225694,27.100,6.131,2482.944870
2456971.70226852,26.950,6.091,2486.492194
2456971.70228009,26.801,6.050,2490.054623
2456971.70229167,26.652,6.009,2493.632087
2456971.70230324,26.503,5.969,2497.224517
2456971.70231481,26.355,5.928,2500.831847
2456971.70232639,26.208,5.887,2504.454007
2456971.70233796,26.061,5.846,2508.090929
2456971.70234954,25.914,5.805,2511.742545
2456971.70236111,25.768,5.764,2515.408786
2456971.70237269,25.622,5.722,2519.089587
2456971.70238426,25.477,5.681,2522.784878
2456971.70239583,25.332,5.640,2526.494592
2456971.70240741,25.188,5.598,2530.218660
2456971.70241898,25.044,5.556,2533.957018
2456971.70243056,24.901,5.515,2537.709597
2456971.70244213,24.758,5.473,2541.476329
2456971.70245370,24.615,5.431,2545.257147
2456971.70246528,24.473,5.389,2549.051986
2456971.70247685,24.331,5.347,2552.860779
2456971.70248843,24.190,5.305,2556.683459
2456971.70250000,24.050,5.263,2560.519957
2456971.70251157,23.909,5.221,2564.370212
2456971.70252315,23.770,5.178,2568.234155
2456971.70253472,23.630,5.136,2572.111718
2456971.70254630,23.491,5.093,2576.002840
2456971.70255787,23.353,5.051,2579.907452
2456971.70256944,23.215,5.008,2583.825490
2456971.70258102,23.078,4.966,2587.756887
2456971.70259259,22.940,4.923,2591.701581
2456971.70260417,22.804,4.880,2595.659504
2456971.70261574,22.668,4.837,2599.630592
2456971.70262731,22.532,4.794,2603.614782
2456971.70263889,22.397,4.751,2607.612008
2456971.70265046,22.262,4.708,2611.622205
2456971.70266204,22.127,4.665,2615.645312
2456971.70267361,21.993,4.622,2619.681262
2456971.70268519,21.860,4.578,2623.729992
2456971.70269676,21.727,4.535,2627.791441
2456971.70270833,21.594,4.492,2631.865542
2456971.70271991,21.462,4.448,2635.952234
2456971.70273148,21.330,4.405,2640.051453
2456971.70274306,21.199,4.361,2644.163137
2456971.70275463,21.068,4.318,2648.287223
2456971.70276620,20.938,4.274,2652.423650
2456971.70277778,20.808,4.231,2656.572353
2456971.70278935,20.678,4.187,2660.733272
2456971.70280093,20.549,4.143,2664.906346
2456971.70281250,20.420,4.099,2669.091510
2456971.70282407,20.292,4.055,2673.288706
2456971.70283565,20.164,4.011,2677.497871
2456971.70284722,20.036,3.967,2681.718945
2456971.70285880,19.909,3.923,2685.951867
2456971.70287037,19.783,3.879,2690.196575
2456971.70288194,19.657,3.835,2694.453010
2456971.70289352,19.531,3.791,2698.721111
2456971.70290509,19.406,3.747,2703.000820
2456971.70291667,19.281,3.703,2707.292074
2456971.70292824,19.156,3.659,2711.594817
2456971.70293981,19.032,3.614,2715.908987
2456971.70295139,18.909,3.570,2720.234525
2456971.70296296,18.786,3.526,2724.571374
2456971.70297454,18.663,3.481,2728.919473
2456971.70298611,18.540,3.437,2733.278765
2456971.70299769,18.418,3.392,2737.649191
2456971.70300926,18.297,3.348,2742.030693
2456971.70302083,18.176,3.303,2746.423213
2456971.70303241,18.055,3.259,2750.826695
2456971.70304398,17.935,3.214,2755.241078
2456971.70305556,17.815,3.170,2759.666309
2456971.70306713,17.695,3.125,2764.102328
2456971.70307870,17.576,3.080,2768.549079
2456971.70309028,17.458,3.035,2773.006506
2456971.70310185,17.339,2.991,2777.474551
2456971.70311343,17.221,2.946,2781.953160
2456971.70312500,17.104,2.901,2786.442276
2456971.70313657,16.987,2.856,2790.941844
2456971.70314815,16.870,2.812,2795.451807
2456971.70315972,16.754,2.767,2799.972112
2456971.70317130,16.638,2.722,2804.502701
2456971.70318287,16.523,2.677,2809.043522
2456971.70319444,16.408,2.632,2813.594519
2456971.70320602,16.293,2.587,2818.155638
2456971.70321759,16.179,2.542,2822.726825
2456971.70322917,16.065,2.497,2827.308025
2456971.70324074,15.951,2.452,2831.899187
2456971.70325231,15.838,2.407,2836.500254
2456971.70326389,15.725,2.362,2841.111175
2456971.70327546,15.613,2.317,2845.731896
2456971.70328704,15.501,2.272,2850.362365
2456971.70329861,15.389,2.227,2855.002529
2456971.70331019,15.278,2.182,2859.652336
2456971.70332176,15.167,2.137,2864.311732
2456971.70333333,15.057,2.092,2868.980668
2456971.70334491,14.947,2.047,2873.659090
2456971.70335648,14.837,2.002,2878.346947
2456971.70336806,14.728,1.956,2883.044189
2456971.70337963,14.619,1.911,2887.750763
2456971.70339120,14.511,1.866,2892.466621
2456971.70340278,14.402,1.821,2897.191709
2456971.70341435,14.295,1.776,2901.925979
2456971.70342593,14.187,1.731,2906.669379
2456971.70343750,14.080,1.685,2911.421861
2456971.70344907,13.973,1.640,2916.183374
2456971.70346065,13.867,1.595,2920.953869
2456971.70347222,13.761,1.550,2925.733297
2456971.70348380,13.656,1.504,2930.521608
2456971.70349537,13.550,1.459,2935.318754
2456971.70350694,13.445,1.414,2940.124687
2456971.70351852,13.341,1.369,2944.939357
2456971.70353009,13.237,1.323,2949.762717
2456971.70354167,13.133,1.278,2954.594717
2456971.70355324,13.030,1.233,2959.435312
2456971.70356481,12.926,1.188,2964.284454
2456971.70357639,12.824,1.142,2969.142094
2456971.70358796,12.721,1.097,2974.008186
2456971.70359954,12.619,1.052,2978.882683
2456971.70361111,12.518,1.007,2983.765538
2456971.70362269,12.416,0.961,2988.656706
2456971.70363426,12.315,0.916,2993.556139
2456971.70364583,12.215,0.871,2998.463792
2456971.70365741,12.114,0.825,3003.379619
2456971.70366898,12.015,0.780,3008.303574
2456971.70368056,11.915,0.735,3013.235612
2456971.70369213,11.816,0.690,3018.175688
2456971.70370370,11.717,0.644,3023.123756
2456971.70371528,11.618,0.599,3028.079773
2456971.70372685,11.520,0.554,3033.043692
2456971.70373843,11.422,0.509,3038.015471
2456971.70375000,11.324,0.463,3042.995066
2456971.70376157,11.227,0.418,3047.982431
2456971.70377315,11.130,0.373,3052.977524
2456971.70378472,11.034,0.328,3057.980301
2456971.70379630,10.938,0.282,3062.990719
2456971.70380787,10.842,0.237,3068.008734
2456971.70381944,10.746,0.192,3073.034304
2456971.70383102,10.651,0.147,3078.067386
2456971.70384259,10.556,0.102,3083.107938
2456971.70385417,10.461,0.056,3088.155917
2456971.70386574,10.367,0.011,3093.211281
2456971.70386853,10.344,0.000,3094.430217
2456971.76262768,163.960,0.000,3055.236536
2456971.76263889,163.959,0.060,3048.616645
2456971.76265046,163.957,0.122,3041.779483
2456971.76266204,163.956,0.184,3034.942378
2456971.76267361,163.955,0.247,3028.105338
2456971.76268519,163.953,0.309,3021.268372
